Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua y Barbuda,ATG,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,3366.22588844737,3824.78273905474,4753.9376129907,5736.09911904954,6459.10490291262,7183.62312436265,7959.42594720572,9105.73082899039,10528.1875667627,12698.5843831978,14750.751446117,17424.3879004711,19106.3399722616,19840.2315762538,20525.0366910221,20909.5562345861,21967.7090776411,23681.0308910184,22697.8302024174,24383.5948299203,25628.5562869575,26838.4682617721,27703.618394622,29351.7154283309,27991.7629384034,28083.913404432,29158.5119798235,30911.0485958972,33904.1306082367,37793.6980073515,42182.7767595744,43317.5638488472,38232.1951444447,35232.9940473486,34414.7535657065,35835.5915893329,34856.3092792517,36454.2684903092,38572.4515315392,41033.5671289684,41535.2210089493,45016.4094468562,46204.6170637781,
Australia,AUS,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,1614.17186064835,1673.94829724316,1653.509588531,1753.7899543379,1900.15223426166,2033.63189322093,2089.77770148485,2300.36443766421,2428.76176201182,2667.0472152002,2946.42999920045,3116.17840303007,3375.88221901799,3718.01195814649,4392.04255629236,5121.93190815519,5931.30478158626,6769.5885005637,7307.35478478897,8170.52501033485,9149.4690988293,10192.4030280699,11570.2991171432,12307.6973127725,13727.354606279,14911.3466175911,16246.3167357539,17567.127195814,19591.4034429779,21858.407079646,23665.8443255533,23980.8493404305,24146.7276364676,25097.4698590593,26085.6902828339,27366.4785303232,28813.2270220086,29988.1730301885,31430.5488749933,32766.6173517912,34519.8663394768,36319.2705918714,38381.6420204158,40258.5522281532,42779.4449357592,45225.7928491576,48141.5989061692,52170.821410052,55405.0505430793,58093.4182198721,59060.7191893517,63411.8387697345,65958.1810339955,66425.9093331761,68093.0048220955,68214.7019261635,68650.34039443,71635.6812045918,73993.6391152145,76985.3479537209,
Austria,AUT,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,1767.54658668792,1949.6079541662,2055.45595371805,2205.04015838767,2398.54708289999,2597.16982393762,2809.61781879595,2965.8762591504,3169.95356826864,3449.05559117625,3890.04412162924,4323.38068406804,4912.10971181706,5536.10893059227,6290.42057692039,6690.01015054553,7402.9126861652,8180.24491208877,8659.23141158681,9514.64303572789,10219.5476137082,10862.4872666544,11666.0074939201,12450.1316466343,13073.9076741264,13791.1646883636,14515.6691186048,15061.6766381687,15773.2947746284,16796.3917109726,17915.0017257435,19015.6586340156,19869.2990646637,20356.1154432542,21289.3262171757,22219.7499886139,22935.1036692094,23685.0889697982,24614.7428495351,25505.7953106005,26662.2630332197,27420.6721888894,28054.4947220085,28549.4869556727,29656.0533903347,30879.9599505532,32390.3831355116,34232.8268370501,35301.5743803758,34523.8965337912,35379.9290336805,36956.8462338067,37799.9264767898,38197.754835213,38981.0663164511,39833.5323259551,40931.8460996801,41982.2096247985,43590.4049093939,44786.7837428736,
Azerbaiyán,AZE,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040955440704009,0.073497455645716,0.65295312923327,4.18945963975984,49.3221008292747,277.657774886142,352.003091588304,402.934328453418,434.803487931252,472.90720616329,586.201326938846,655.340763388894,741.866996249365,867.91513340863,1026.93071690845,1492.22161978586,2209.45129676883,3304.91883514153,4580.09448387612,3979.04695334641,4690.02020248429,5677.69916370528,5889.08907521948,6178.53132926989,6189.15690158414,5635.6180178522,6192.49479289005,7137.97081864857,8057.73090748268,8149.09793343881,
Burundi,BDI,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,3502.58673191486,3558.35941044117,3671.76527806871,3925.71647067039,4308.08032277145,4335.34483009354,4565.98191446748,4795.55935077207,4803.82100057928,4875.06385651149,6104.81409708445,6267.34243683493,6049.69764678264,6755.6862090257,7456.46907894322,8958.05862389486,10256.4102564103,12784.7718672857,13906.4575543911,17383.5182070451,19910.8651821447,20441.5308026213,20820.9467080574,22380.7140492354,25572.0333435546,29214.0100786451,28076.1644309922,27809.8592081618,29400.8278293682,33303.3167648659,35646.172602578,38077.4155846816,39679.4330730543,39306.2978555043,39620.6664658405,41734.2910014176,43415.0463580618,55993.5839323895,64699.0524062324,72664.9097736059,98345.4898366812,111568.688638267,114591.633732904,122950.30217882,141287.06043572,164055.212439826,172177.444636454,186618.044230289,235185.209341453,260966.377808696,288285.124190805,314736.126047424,364029.241655949,399621.017770007,425119.132427638,480293.168425684,466924.288124388,506609.018323041,484501.284878239,482160.164007361,
Bélgica,BEL,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,1578.69957040425,1673.52629784054,1783.00296922818,1902.61220934426,2109.38335419929,2275.16027687787,2426.41414042077,2586.31776524996,2754.5451341109,3046.71282533585,3428.32189034513,3749.14872716905,4180.69356608381,4735.30967837302,5536.55548334553,6109.64573959003,6931.59630552441,7487.3423734924,8033.22220340923,8583.95561829344,9325.11546019461,9777.22740542583,10582.8570814026,11212.6019733104,12114.1918336517,12880.3297685566,13477.1030670496,14008.2313144754,14940.4820240315,16141.6803108406,17065.3508811093,17811.7657418882,18627.977479299,19110.7035319142,20078.5753454342,20764.8243614289,21098.233598385,22011.2078630855,22799.5312754827,23694.276559566,25009.2817949031,25697.0885338845,26445.5226737032,27100.6742107103,28482.4678919392,29587.6450107872,30826.0139071468,32338.4718183273,32842.5757936084,32091.2355521372,33329.1022621454,34060.4102239265,34768.8002411467,35206.1717974799,35953.3634274498,36960.6311616367,37955.1039578263,39119.5533284021,40292.0472765771,41466.4767801965,
Benin,BEN,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,22808.6633942282,23440.0362225538,23145.1241282099,24467.1205914288,25566.0812114626,26989.2415767472,27747.123977363,27540.1948300502,28939.0919511819,30161.953139991,31663.7983889244,30996.9057358599,33978.2118152812,36105.2361277269,41886.0235513953,44427.1584131277,49858.4922858783,53669.8030458674,59478.6207646105,69734.7518575243,79872.9636160891,91839.3218237713,106066.785539884,103318.135055665,110493.14680288,109804.818580152,105051.513086825,103535.781585324,103274.704698544,99427.9658615241,107186.89843278,108823.756777116,111485.058412698,116642.045810369,155272.157634813,183380.803456676,198192.242436693,210763.177810759,223852.699711681,339631.560040083,364104.841412355,379431.158417309,398836.718071704,412472.350777303,421208.169699009,433820.269411098,447224.785706819,462457.448692121,501939.709467293,512035.943487479,512871.091030267,532639.630983751,584658.855442887,617972.374274683,637643.020083326,636615.408239372,644332.857772124,659970.251809806,689214.383108708,714527.549621772,
Burkina Faso,BFA,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,16777.4130679305,17550.3664052891,18748.6057771203,19202.4350906685,19718.0086646309,20027.6303559316,20279.6799992695,20753.4145021756,20976.9034683397,22491.8373408652,22526.8246453081,23209.1893061112,25033.0859529837,25360.4520407528,29933.7906812222,32731.627764522,37192.390322212,43432.0670549084,50985.0443566113,55749.2280926954,59725.7008112307,69082.4859559409,80539.6388086203,83070.3877246743,84701.0832077896,90254.4108514764,88918.3059010977,87495.7814628935,93244.9207514565,97250.7467694846,95831.5447426488,97724.8409296532,95566.1165568279,94843.3680545232,107193.483316199,117715.263950664,127560.857073031,133948.087383431,150861.406504531,184901.467857741,181613.598250232,195621.700398683,204413.219733021,217245.482357789,220626.02979962,241449.337956613,247342.277790087,256098.982298721,286958.443136274,293545.460329231,320545.484160842,353989.204460838,387002.033516369,388931.205085289,391473.884632319,386254.554232919,407860.604349006,426779.440141666,451631.798915882,461050.806224853,
Bangladesh,BGD,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,427.369175138728,468.45733338333,480.586174889079,489.12680886005,481.061363950492,511.903931872522,540.793743913982,589.779050123937,589.668472216974,648.707456066563,672.013054080644,641.046855951232,566.290070776737,930.294363203387,1449.97123529578,2463.71700855166,2096.77795633895,2032.34407539932,2661.6333204471,3055.71428746478,3525.60013222586,4046.59478767332,4423.2049546415,4856.96403383719,5349.91644830721,6381.80150864135,7009.74141378011,7873.20835641979,8445.82775508001,9175.1173341942,10076.2408226515,10465.8268339662,11070.4164417253,11361.0074700156,12011.2748937727,13242.8482026515,16143.9447325817,17143.9940977641,18497.2850517002,19690.8369047215,21033.0497957454,22395.2576604231,23723.1990202515,25841.387167122,27980.4353178569,30716.9093247081,34227.4319953652,38539.0614700188,43566.4619442348,48317.4768439116,54042.7834091352,61352.2892145196,69877.4493778325,78481.7016120926,86957.866153484,97007.4507599298,109695.175388065,123743.211750958,139472.889514845,155936.367002226,
Bulgaria,BGR,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,2.91044384522546,3.12874074202375,3.25350601634524,3.33506418197043,3.53443081712893,3.63764622851708,3.84272637796264,4.0719917684712,4.26936820641131,4.45863747232728,5.2063656068295,15.7199062551442,23.5124290353206,35.2796219875257,62.2483964464882,151.756820401265,261.531448818856,2289.72585402333,3204.64112791587,3050.06440436196,3442.38517867188,3868.91479761503,4347.07313018069,4712.07358867351,5339.12757261373,6138.8446125668,7052.79316386665,8409.81411303244,9715.01493281136,9830.34781782868,10064.649124432,10983.9563503426,11256.4834007858,11280.5991371093,11612.0765432926,12449.4929012867,13346.3756530396,14463.7988385159,15621.7493231708,17169.7754553231,
Bahrein,BHR,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,3217.94558307029,3485.24537581525,3551.7554087317,3542.40340619593,3606.11455583523,3273.74424215837,2647.64233643997,2840.71777464469,2992.48921964411,3019.62015186442,3206.89773375732,3404.93565599498,3415.11720826021,3646.51908767088,3809.06996759361,3901.74136105035,3964.80854240615,4012.7344179409,3788.65895388626,3910.98122508998,5127.28498324584,4838.46920270377,4906.72601088763,5347.48583551216,5958.30059625665,6752.68004552591,7259.66123340755,7887.18036834926,8673.01669326716,7277.82015668193,7791.52362071467,8465.35346762628,8894.03612312232,9303.85565641518,9396.01444529686,8510.42861068731,8500.79008774778,8927.36236625495,9020.63731052943,8837.49539962905,
Bahamas,BHS,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,1581.24417988935,1684.31476446521,1787.91157063696,1904.36551252955,2034.26844864594,2187.64949057183,2369.14374718203,2607.78403878915,2860.42055367858,3279.39708281589,3185.20224115435,3297.50588018794,3322.16387617645,3696.07254416942,3416.1624891962,3156.23411824496,3328.51240740453,3617.43471621149,4131.46844816804,5533.43997592046,6340.72681168711,6624.838616795,7168.09577444319,7698.45924188303,8877.31979836728,9893.08417669176,10344.4524866432,11156.2820886994,11387.709081798,12163.6813608069,12356.4238963715,11919.7878992215,11686.6958113589,11406.6898096057,11814.5631983063,12238.3862033521,12708.730958032,22036.4841069328,23514.4203140432,26130.1018152634,27097.6108115725,27486.2367737544,28866.8010141065,28327.2708691945,28395.9246646221,30278.3669222647,30713.7052801382,31472.09897181,30627.2386311725,28552.1904783698,28443.4076553352,28006.3797183913,29485.6209294138,28783.5541223636,29980.0611386466,31295.0620781067,31562.6397411168,32718.6381008013,33767.5033710196,34863.7420984795,
Bosnia y Herzegovina,BIH,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.801116924475,698.602969404944,1113.70023310333,1704.27668646465,1939.87741331326,2298.2079707129,3116.08946101169,3345.74886193946,3676.39724242277,3855.48458297904,4433.62483442671,4687.59293671659,5326.68166984648,5992.33094839834,6797.4128665725,6637.82964278315,6845.26910471864,7164.71132901323,7274.0398538463,7559.05724742104,7856.94798317339,8336.55424436214,8831.09926063125,9361.77360349476,10061.6099200675,10672.1790366556,
Belarús,BLR,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24968102856021E-05,8.82872277810477E-05,0.000900548159749,0.009620080085946,0.17398063948372,1.1909260349225,1.88817913385827,3.62587723633488,6.97349289899692,30.1799448634242,91.5246186975242,172.967872747569,264.945241764573,373.234018754589,513.782629777601,673.299589245146,825.274619559718,1016.27212266392,1362.20617475783,1494.63355831347,1796.15730666915,3243.31702200699,5786.01076972411,7085.23888186316,8504.8473741811,9474.54670452419,9993.01796951945,11133.4239604206,12898.1613221027,13938.2810935331,
Belice,BLZ,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,435.60457942301,452.01419173627,467.333442865358,481.354578491274,501.668784988697,539.95985638764,580.720092915215,609.626237887339,646.211905808153,662.41269149177,727.603083923982,778.088514580145,831.301612268974,987.671508345322,1344.17814739504,1603.63199759868,1598.99960783443,1717.65616217361,1961.64501852985,2148.54392979725,2746.18601407212,2657.65629828479,2405.36405261662,2465.67475652118,2673.97517907264,2578.73457794587,2732.09945904376,3224.90315036599,3575.90276685714,4023.93745760586,4394.37004662362,4653.64310828345,5333.76319960478,5665.95065326735,5760.25089250298,5992.76585669902,6003.66744046728,5905.89719288744,5984.88950852139,6132.10705140007,6728.66587145948,6808.90603497959,7051.27716500621,7300.7330425907,7604.59161531117,7766.38477801269,8307.78947512949,8504.97450045983,8808.66167138709,8372.97993039996,8541.72868909398,8846.9795934435,9011.2426035503,9137.00591527704,9411.20537912533,9551.91129655643,9636.80781758958,9775.1544166762,9769.46832310459,9630.3274215902,
Bermudas,BMU,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,1630.63063063063,1681.31868131868,1731.75965665236,1731.65618448637,1885.48057259714,1956.0878243513,2254.90196078431,2592.30769230769,2830.18867924528,3053.7037037037,3387.27272727273,3866.30036630037,4343.17343173432,5009.2936802974,5853.93258426966,6509.43396226415,7261.27819548872,8370.78651685393,8876.86567164179,9613.38289962825,11218.2178159868,13425.9769663942,14166.1712925391,15902.0203826211,17469.8255675877,18269.5355197019,20450.6645289464,22411.7956749468,24253.1755188784,25517.9217212488,26841.5197383946,27700.3100591315,28669.6817134568,30900.6942794093,31476.0637221848,33989.7231613832,44826.7890701658,48478.8832504091,51371.7408069836,54245.459737293,56284.1686478094,58883.9594265967,62583.1002034588,66111.7252270035,70359.3191088798,75882.0338560339,95221.8588720301,104287.387498459,106935.486341979,101407.764031934,101875.28407346,97774.1620717428,98431.8651810241,99471.6388978631,98467.683993982,102005.62564189,106885.878489327,111820.581466347,113021.417396746,117089.286273037,
Bolivia,BOL,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,0.001224789476491,0.001306529105671,0.001400739944097,0.001478658442274,0.001632995658905,0.001777724077416,0.001928433527381,0.002133450044622,0.002371602020422,0.002516149698604,0.002694466820279,0.002840842125481,0.003570826009794,0.005280486125665,0.008590245923537,0.009620869597208,0.010690812632396,0.012352312015565,0.014069758326522,0.016514661361569,0.019892704843336,0.025276035369599,0.061571853751368,0.211704066032791,3.19567342784413,382.906920669444,1205.83487739197,1378.95872171721,1642.09539000582,1888.66073560711,2249.59816992146,2728.69660539691,3074.18683632829,3344.65618739616,3701.23318002789,4229.02697308883,4825.21643748698,5246.49906808956,5782.8464987419,5832.11700136586,6168.55114071025,6269.09717507737,6483.30491761577,6951.00823360177,7677.34188815375,8342.8578948748,9765.13461947416,10776.7787187845,12415.1967390886,12314.5616478504,13720.8870141266,16276.5408429373,18034.2764224451,20095.6626536007,21295.7826684096,20978.5679953415,21259.7133438012,23156.267147099,24520.7579716338,24544.795133418,
Brasil,BRA,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,1.42780652704699E-11,2.00807634441488E-11,3.66958381964748E-11,6.10404788047203E-11,1.18979917873124E-10,1.80476942741899E-10,2.54934555382393E-10,3.36499418293559E-10,4.62599316878024E-10,5.98188949517877E-10,7.42903763213259E-10,9.70108380011596E-10,1.26431791792665E-09,1.72617701415058E-09,2.47800038446626E-09,3.4081974231414E-09,5.39447068573182E-09,8.05555569154698E-09,1.14556877787699E-08,1.86911743533767E-08,3.73084533077363E-08,7.21914883538343E-08,1.45286988667691E-07,3.29390871757586E-07,1.06053171686912E-06,3.71642514539075E-06,9.64144484758377E-06,2.97754429911394E-05,0.000219162058528,0.002908496158064,0.077507011710747,0.397539008935633,4.15507180179254,89.8769338000189,2237.94092549988,4357.4373908992,5192.51117980432,5694.00551608932,5903.64015248674,6312.20299308824,6860.17357080489,7425.42194421553,8292.34610793332,9449.19157961856,10639.5774885777,11661.8400464762,12804.8242437971,14307.3507581319,16194.33019191,17190.6719538216,19854.7587141795,22157.2605892385,24159.8942664163,26520.7304786747,28500.9200486468,29323.2998830269,30409.5605721952,31675.8776389971,32888.7096976625,34384.9412739977,
Barbados,BRB,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,2616.89202147751,3300.53949966281,3528.0249451699,3991.21866174976,4444.45110570217,5364.21179943585,8066.75277542255,8847.28659523565,9213.5609763777,9757.13141906212,10602.8642214977,11062.8533967057,12107.7994764826,13285.8432906104,14078.4702888674,15521.7978357959,15509.5502345403,15517.0768026575,14888.5828838356,15727.2031348295,16334.8974869098,16765.9942471471,17801.9764163131,18736.926100072,21036.9204265304,21952.2205501181,22536.5081118907,22418.3486238532,22722.867331078,23398.9115259415,25025.0650237573,27645.1833542629,30398.9159461865,33541.4424111948,34185.1642816829,31771.1594285389,32112.7419532061,32916.706421143,32499.1187874515,32902.3271519824,32978.1444746774,33050.1465001192,33800.333104732,34782.8517326793,35490.3869299926,36296.4898528003,
Brunei Darussalam,BRN,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,,,,,,3409.64585001856,3788.42962880101,3784.86055776892,4175.64335272863,3992.71844660194,4232.25686911811,4443.83840319597,5376.63178944107,7169.79099332041,16870.8728848535,17140.8065534011,20906.6422485299,24192.6806094532,24365.7735713694,32499.8400886975,54433.9510725762,46117.6576459472,44284.5704025429,38306.5504819027,36981.7806806463,34539.2494508775,22240.2182621311,24418.3648127023,22155.1202107985,23155.191721878,24663.6337985707,24022.3883400323,24882.0703050838,23551.4642450148,21568.1939099131,22583.9240156977,23678.5261734215,24737.3043807179,21244.3285789487,23901.7810612795,31053.6469917308,29513.1486851315,30171.8806051064,32336.2922560028,37018.9092264761,43449.6264180503,49223.930017312,49227.2612110464,53760.5983854346,40664.3813850265,48090.0356622736,59191.5425413017,59656.5474236132,55978.7943751685,52867.8352925673,42848.156333829,37513.1014768938,39455.2774852582,42663.4527067666,42408.5458762708,
Bhután,BTN,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,2620.54660522273,3032.09339146782,3284.69834519996,3802.48827934937,4259.03104483959,4588.59899281877,5304.76360582588,6638.00312353332,7754.58884484044,8576.88015029329,9889.29096238913,10635.4322225381,12161.637443968,13466.9702739037,15971.2220599101,18383.1951666604,20704.5535722531,24085.4707826046,27558.116117418,31223.871350676,32275.3611123801,36073.7635014247,41100.2547003497,44814.4737743275,48420.8749011842,54174.2844194661,60302.044690528,72656.8633850522,79533.9980018255,88059.5704406308,103257.230675869,119628.510395241,135674.159864193,144895.618510978,161863.330255224,176588.63899895,196920.059209267,214027.003170737,221820.388285167,233526.088597443,
Botswana,BWA,PIB per cápita (UMN actual),NY.GDP.PCAP.CN,43.149310286527,45.8669553429494,48.5402212387691,50.8631005161616,54.4828819817731,58.5720561291728,64.5145498667748,71.9912274093807,79.5715532534714,90.8719123180108,109.842842691349,140.481815495392,190.528442853459,245.611034450771,290.956357245996,354.283710233289,420.141328529739,474.998407303171,587.350609693838,772.41857642401,918.342117104073,965.705367967601,1085.34337271193,1290.84557236505,1561.94404128601,1982.9709176108,2355.5663971959,2856.94246977676,4029.6083468673,4992.87254797972,5480.72050956048,6009.6643198258,6415.51416372216,7204.79805018905,7973.59104471992,8926.24018666271,10709.4960557708,11897.8853238554,12846.6123120348,15749.8397778253,17970.1144137467,19147.5017884035,20189.5764623892,21437.7441625279,23809.6048375358,28210.0453676828,32194.9144510509,35805.9871210194,39005.7319776847,37605.5489178899,43715.5640995317,52088.7929058322,53869.9066117984,60681.7609001734,69839.9228387821,68875.8850312819,78966.8784005511,81674.434318552,84451.9377355126,85631.217516887,
